simplified	traditional	pronunciation	meaning	hsklevel
上	上	shang4	(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above	1
上下	上下	shang4 xia4	the top and bottom of sth; the full vertical extent of sth; from top to bottom; to go up and down; before and after (as in 上下文[shang4 xia4 wen2] "context"); (used after a quantity) approximately; ... or so; (in a social hierarchy) the high and the low; seniors and juniors (as in 上下和睦[shang4 xia4 he2 mu4] "harmony between superiors and subordinates"); all members of a group (as in 舉國上下|举国上下[ju3 guo2 shang4 xia4] "the entire nation"); relative superiority (as in 不相上下[bu4 xiang1 shang4 xia4] "evenly matched")	5
上任	上任	shang4 ren4	to take office; previous (incumbent); predecessor	7-9
上来	上來	shang4 lai2	to come up; to approach; (verb complement indicating success)	3
上个月	上個月	shang4 ge4 yue4	last month	4
上升	上升	shang4 sheng1	to rise; to go up; to ascend	3
上午	上午	shang4 wu3	morning	1
上去	上去	shang4 qu4	to go up	3
上台	上台	shang4 tai2	to rise to power (in politics); to go on stage (in the theater)	6
上司	上司	shang4 si5	boss; superior	7-9
上周	上周	shang4 zhou1	last week	2
上报	上報	shang4 bao4	to report to one's superiors; to appear in the news; to reply to a letter	7-9
上场	上場	shang4 chang3	on stage; to go on stage; to take the field	7-9
上学	上學	shang4 xue2	to go to school; to attend school	1
上岗	上崗	shang4 gang3	to take up one's post; to go on duty; to take up a job	7-9
上市	上市	shang4 shi4	to hit the market (of a new product); to float (a company on the stock market)	6
上帝	上帝	Shang4 di4	God	6
上方	上方	shang4 fang1	place above (it); upper part (of it)	7-9
上旬	上旬	shang4 xun2	first third of a month	7-9
上映	上映	shang4 ying4	to screen; to show (a movie)	7-9
上期	上期	shang4 qi1	previous period (week, month or quarter etc)	7-9
上楼	上樓	shang4 lou2	to go upstairs	4
上次	上次	shang4 ci4	last time	1
上流	上流	shang4 liu2	upper class	7-9
上游	上游	shang4 you2	upper reaches (of a river); upper level; upper echelon; upstream	7-9
上演	上演	shang4 yan3	to screen (a movie); to stage (a play); a screening; a staging	6
上涨	上漲	shang4 zhang3	to rise; to go up	5
上火	上火	shang4 huo3	to get angry; to suffer from excessive internal heat (TCM)	7-9
上班	上班	shang4 ban1	to go to work; to be on duty; to start work; to go to the office	1
上当	上當	shang4 dang4	taken in (by sb's deceit); to be fooled; to be duped	6
上瘾	上癮	shang4 yin3	to get into a habit; to become addicted	7-9
上空	上空	shang4 kong1	the skies above a certain place; (aviation) airspace; (Tw) topless	7-9
上级	上級	shang4 ji2	higher authorities; superiors; CL:個|个[ge4]	5
上网	上網	shang4 wang3	to go online; to connect to the Internet; (of a document etc) to be uploaded to the Internet; (tennis, volleyball etc) to move in close to the net	1
上衣	上衣	shang4 yi1	jacket; upper outer garment; CL:件[jian4]	3
上诉	上訴	shang4 su4	to appeal (a judicial case); appeal	7-9
上课	上課	shang4 ke4	to go to class; to attend class; to go to teach a class	1
上调	上調	shang4 tiao2	to raise (prices); to adjust upwards	7-9
上车	上車	shang4 che1	to get on or into (a bus, train, car etc)	1
上述	上述	shang4 shu4	aforementioned; above-mentioned	7-9
上边	上邊	shang4 bian5	the top; above; overhead; upwards; the top margin; above-mentioned; those higher up	1
上门	上門	shang4 men2	to drop in; to visit; to lock a door; (of a shop) to close; to go and live with one's wife's family, in effect becoming a member of her family	4
上限	上限	shang4 xian4	upper bound	7-9
上面	上面	shang4 mian4	on top of; above-mentioned; also pr. [shang4 mian5]	3
上头	上頭	shang4 tou2	(of alcohol, love etc) to go to one's head; (of an idea, a song etc) to get into one's head; to capture one's attention; (old) (of a girl on her wedding day) to start wearing one's hair in a bun (rather than a plait)	7-9
上头	上頭	shang4 tou5	the top; the upper part; (its) surface; the authorities; those in charge; the higher-ups	7-9
下一代	下一代	xia4 yi1 dai4	the next generation	7-9
下令	下令	xia4 ling4	to give an order; to issue an order	7-9
下来	下來	xia4 lai5	to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)	3
下个月	下個月	xia4 ge4 yue4	next month	4
下功夫	下功夫	xia4 gong1 fu5	variant of 下工夫[xia4 gong1 fu5]	7-9
下午	下午	xia4 wu3	afternoon; CL:個|个[ge4]; p.m.	1
下去	下去	xia4 qu4	to go down; to descend; to go on; to continue; (of a servant) to withdraw	3
下场	下場	xia4 chang3	to leave (the stage, an exam room, the playing field etc); to take part in some activity; to take an examination (in the imperial examination system)	7-9
下场	下場	xia4 chang5	the end; to conclude	7-9
下坠	下墜	xia4 zhui4	(of objects) to fall; to drop; to droop; (medicine) to experience tenesmus	7-9
下属	下屬	xia4 shu3	subordinate; underling	7-9
下山	下山	xia4 shan1	to go down a hill; (of the sun or moon) to set	7-9
下岗	下崗	xia4 gang3	(of a guard, sentry etc) to come off duty; (of a worker) be to laid off	7-9
下意识	下意識	xia4 yi4 shi2	subconscious mind	7-9
下手	下手	xia4 shou3	to start; to put one's hand to; to set about; the seat to the right of the main guest	7-9
下旬	下旬	xia4 xun2	last third of the month	7-9
下期	下期	xia4 qi1	next period (week, month or quarter etc)	7-9
下棋	下棋	xia4 qi2	to play chess	7-9
下楼	下樓	xia4 lou2	to go downstairs	4
下次	下次	xia4 ci4	next time	1
下决心	下決心	xia4 jue2 xin1	to determine; to resolve	7-9
下海	下海	xia4 hai3	to go out to sea; to enter the sea (to swim etc); (fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc)	7-9
下游	下游	xia4 you2	lower reaches (of a river); lower level; lower echelon; downstream	7-9
下班	下班	xia4 ban1	to finish work; to get off work; next service (train, bus etc)	1
下级	下級	xia4 ji2	low ranking; low level; underclass; subordinate	7-9
下台	下臺	xia4 tai2	to go off the stage; to fall from position of prestige; to step down (from office etc); to disentangle oneself; to get off the hook	7-9
下落	下落	xia4 luo4	whereabouts; to drop; to fall	7-9
下课	下課	xia4 ke4	to finish class; to get out of class; (fig.) (esp. of a sports coach) to be dismissed; to be fired	1
