simplified	traditional	pronunciation	meaning	hsklevel
旁边	旁邊	pang2 bian1	side; adjacent place	1
旅客	旅客	lu:3 ke4	traveler; tourist	2
旅店	旅店	lu:3 dian4	inn; small hotel	6
旅程	旅程	lu:3 cheng2	journey; trip	7-9
旅行	旅行	lu:3 xing2	to travel; journey; trip; CL:趟[tang4],次[ci4]	2
旅行社	旅行社	lu:3 xing2 she4	travel agency	3
旅途	旅途	lu:3 tu2	journey; trip	7-9
旅游	旅遊	lu:3 you2	trip; journey; tourism; travel; tour; to travel	2
旅馆	旅館	lu:3 guan3	hotel; CL:家[jia1]	3
旋律	旋律	xuan2 lu:4	melody	7-9
旋涡	旋渦	xuan2 wo1	spiral; whirlpool; eddy; vortex	7-9
旋转	旋轉	xuan2 zhuan3	to rotate; to revolve; to spin; to whirl	6
族	族	zu2	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族)	6
旗帜	旗幟	qi2 zhi4	ensign; flag	7-9
旗袍	旗袍	qi2 pao2	cheongsam, a traditional Chinese dress for women, originally a long robe worn by Manchu women, later modernized in 20th-century Shanghai into a close-fitting dress with a high collar and side slits	7-9
既	既	ji4	already; since; both... (and...)	4
既然	既然	ji4 ran2	since; as; this being the case	4
日	日	ri4	(bound form) sun; day; day of the month; (bound form) Japan (abbr. for 日本[Ri4 ben3]); (vulgar) to fuck; to have sex with	1
日前	日前	ri4 qian2	the other day; a few days ago	7-9
日报	日報	ri4 bao4	daily newspaper	2
日夜	日夜	ri4 ye4	day and night; around the clock	6
日子	日子	ri4 zi5	day; a (calendar) date; days of one's life	2
日常	日常	ri4 chang2	day-to-day; daily; everyday	3
日后	日後	ri4 hou4	sometime; someday (in the future)	7-9
日复一日	日復一日	ri4 fu4 yi1 ri4	day after day	7-9
日新月异	日新月異	ri4 xin1 yue4 yi4	daily renewal, monthly change (idiom); every day sees new developments; rapid progress	7-9
日历	日曆	ri4 li4	calendar; CL:張|张[zhang1],本[ben3]	4
日期	日期	ri4 qi1	date	1
日益	日益	ri4 yi4	day by day; more and more; increasingly; more and more with each passing day	7-9
日程	日程	ri4 cheng2	schedule; itinerary; CL:個|个[ge4]	7-9
日记	日記	ri4 ji4	diary; CL:則|则[ze2],本[ben3],篇[pian1]	4
日语	日語	Ri4 yu3	Japanese language	6
日趋	日趨	ri4 qu1	(increasing) day by day; (more critical) with every passing day; gradually	7-9
旨在	旨在	zhi3 zai4	to have as its purpose; to be intended to; to aim to (do sth)	7-9
早	早	zao3	early; morning; Good morning!; long ago; prematurely	1
早上	早上	zao3 shang5	early morning; CL:個|个[ge4]	1
早就	早就	zao3 jiu4	already at an earlier time	2
早已	早已	zao3 yi3	for a long time; long since; (dialect) in the past	3
早年	早年	zao3 nian2	many years ago; in the past; in one's early years	7-9
早日	早日	zao3 ri4	soon; at an early date; the early days; the past	7-9
早晚	早晚	zao3 wan3	morning and evening; (in reference to sth that is bound to happen) sooner or later; one of these days; (coll.) (this, or that) point of time; (dialect) at some time in the future	6
早晨	早晨	zao3 chen2	early morning; also pr. [zao3chen5]	2
早期	早期	zao3 qi1	early period; early phase; early stage	5
早饭	早飯	zao3 fan4	breakfast; CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	1
早餐	早餐	zao3 can1	breakfast; CL:份[fen4],頓|顿[dun4],次[ci4]	2
旭日	旭日	xu4 ri4	the rising sun	7-9
旱	旱	han4	drought	7-9
旱灾	旱災	han4 zai1	drought	7-9
时	旹	shi2	old variant of 時|时[shi2]	3
旺	旺	wang4	prosperous; flourishing; (of flowers) blooming; (of fire) roaring	7-9
旺季	旺季	wang4 ji4	busy season; peak period; see also 淡季[dan4 ji4]	7-9
旺盛	旺盛	wang4 sheng4	vigorous; exuberant	7-9
昂贵	昂貴	ang2 gui4	expensive; costly	7-9
昆虫	昆蟲	kun1 chong2	insect; CL:隻|只[zhi1],群[qun2],堆[dui1]	7-9
升	昇	sheng1	to ascend; to rise (variant of 升[sheng1]); to promote; to elevate (variant of 升[sheng1])	3
昌盛	昌盛	chang1 sheng4	prosperous	6
明亮	明亮	ming2 liang4	bright; shining; glittering; to become clear	5
明天	明天	ming2 tian1	tomorrow	1
明媚	明媚	ming2 mei4	bright and beautiful	7-9
明年	明年	ming2 nian2	next year	1
明日	明日	ming2 ri4	tomorrow	6
明明	明明	ming2 ming2	obviously; plainly; undoubtedly; definitely	5
明星	明星	ming2 xing1	star; celebrity	2
明智	明智	ming2 zhi4	sensible; wise; judicious; sagacious	7-9
明朗	明朗	ming2 lang3	bright; clear; obvious; forthright; open-minded; bright and cheerful	7-9
明白	明白	ming2 bai5	clear; obvious; unequivocal; sensible; reasonable; to understand; to realize	1
明确	明確	ming2 que4	clear-cut; definite; explicit; to clarify; to specify; to make definite	3
明显	明顯	ming2 xian3	clear; distinct; obvious	3
昏	昏	hun1	muddle-headed; twilight; to faint; to lose consciousness	6
昏迷	昏迷	hun1 mi2	to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented	7-9
易拉罐	易拉罐	yi4 la1 guan4	pull-top can; easy-open can (with ring-pull)	7-9
昔日	昔日	xi1 ri4	former days; in the past	7-9
星座	星座	xing1 zuo4	constellation; astrological sign	7-9
星星	星星	xing1 xing5	(coll.) a star; the stars in the sky	2
星期	星期	xing1 qi1	week; CL:個|个[ge4]; day of the week; Sunday	1
星期天	星期天	Xing1 qi1 tian1	Sunday	1
星期日	星期日	Xing1 qi1 ri4	Sunday	1
映	映	ying4	(bound form) to become visible (esp. on a surface or in perception)	7-9
春天	春天	chun1 tian1	spring (season); CL:個|个[ge4]	2
春季	春季	chun1 ji4	springtime	4
春节	春節	Chun1 jie2	Spring Festival (Chinese New Year)	2
昨天	昨天	zuo2 tian1	yesterday	1
昏	昬	hun1	old variant of 昏[hun1]	6
是	是	shi4	to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)	1
是不是	是不是	shi4 bu5 shi4	is or is not (used to form yes-no questions)	1
是否	是否	shi4 fou3	whether (or not); if; is or isn't	4
是非	是非	shi4 fei1	right and wrong; quarrel	7-9
是	昰	shi4	variant of 是[shi4]	1
时	時	Shi2	surname Shi	3
时	時	shi2	o'clock; time; when; hour; season; period	3
时不时	時不時	shi2 bu4 shi2	from time to time	7-9
时事	時事	shi2 shi4	current trends; the present situation; how things are going	5
时代	時代	Shi2 dai4	Time, US weekly news magazine	3
时代	時代	shi2 dai4	age; era; epoch; period (in one's life); CL:個|个[ge4]	3
时候	時候	shi2 hou5	time; length of time; moment; period	1
时光	時光	shi2 guang1	time; era; period of time	5
时刻	時刻	shi2 ke4	time; juncture; moment; period of time; CL:個|个[ge4],段[duan4]; constantly; always	3
时好时坏	時好時壞	shi2 hao3 shi2 huai4	sometimes good, sometimes bad	7-9
时尚	時尚	shi2 shang4	fashion; fad; fashionable	7-9
时常	時常	shi2 chang2	often; frequently	5
时时	時時	shi2 shi2	often; constantly	6
时期	時期	shi2 qi1	period; phase; CL:個|个[ge4]	6
时机	時機	shi2 ji1	opportunity; opportune moment	5
时段	時段	shi2 duan4	time interval; work shift; time slot; the twelve two-hour divisions of the day	7-9
时空	時空	shi2 kong1	time and place; world of a particular locale and era; (physics) space-time	7-9
时节	時節	shi2 jie2	season; time	6
时而	時而	shi2 er2	occasionally; from time to time	6
时装	時裝	shi2 zhuang1	fashion; fashionable clothes	6
时速	時速	shi2 su4	speed per hour	7-9
时间	時間	shi2 jian1	(concept of) time; (duration of) time; (point in) time	1
时间表	時間表	shi2 jian1 biao3	schedule; timetable	7-9
时隔	時隔	shi2 ge2	separated in time (usu. followed by a quantity of time)	7-9
时髦	時髦	shi2 mao2	in vogue; fashionable	7-9
晃	晃	huang3	to dazzle; to flash past	7-9
晃	晃	huang4	to sway; to shake; to wander about	7-9
晃荡	晃蕩	huang4 dang5	to rock; to sway; to shake	7-9
晋升	晉升	jin4 sheng1	to promote to a higher position	7-9
晒	晒	shai4	variant of 曬|晒[shai4]	4
晚	晚	wan3	evening; night; late	1
晚上	晚上	wan3 shang5	evening; night; CL:個|个[ge4]; in the evening	1
晚报	晚報	wan3 bao4	evening newspaper; (in a newspaper's name) Evening News	2
晚安	晚安	wan3 an1	Good night!; Good evening!	2
晚年	晚年	wan3 nian2	one's later years	7-9
晚会	晚會	wan3 hui4	evening party; CL:個|个[ge4]	2
晚期	晚期	wan3 qi1	later period; end stage; terminal	7-9
晚间	晚間	wan3 jian1	evening; night	7-9
晚饭	晚飯	wan3 fan4	evening meal; dinner; supper; CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	1
晚餐	晚餐	wan3 can1	evening meal; dinner; CL:份[fen4],頓|顿[dun4],次[ci4]	2
晚点	晚點	wan3 dian3	(of trains etc) late; delayed; behind schedule; light dinner	4
昼夜	晝夜	zhou4 ye4	day and night; period of 24 hours; continuously, without stop	7-9
普及	普及	pu3 ji2	to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive	3
普通	普通	pu3 tong1	common; ordinary; general; average	2
普通人	普通人	pu3 tong1 ren2	ordinary person; private citizen; people; the person in the street	7-9
普通话	普通話	pu3 tong1 hua4	Putonghua; standard Mandarin	2
普遍	普遍	pu3 bian4	universal; general; widespread; common	3
景	景	Jing3	surname Jing	6
景	景	jing3	(bound form) scenery; circumstance; situation; scene (of a play); (literary) sunlight	6
景区	景區	jing3 qu1	scenic area	7-9
景色	景色	jing3 se4	scenery; landscape; view	3
景观	景觀	jing3 guan1	landscape	7-9
景象	景象	jing3 xiang4	scene; sight (to behold)	5
景点	景點	jing3 dian3	tourist attraction; scenic spot	6
晴	晴	qing2	clear; fine (weather)	2
晴天	晴天	qing2 tian1	clear sky; sunny day	2
晴朗	晴朗	qing2 lang3	sunny and cloudless	5
晶莹	晶瑩	jing1 ying2	sparkling and translucent	7-9
智力	智力	zhi4 li4	intelligence; intellect	4
智商	智商	zhi4 shang1	IQ (intelligence quotient)	7-9
智慧	智慧	zhi4 hui4	wisdom; intelligence	6
智能	智能	zhi4 neng2	intelligent; able; smart (phone, system, bomb etc)	4
暗	晻	an4	variant of 暗[an4]	4
晕	暈	yun1	confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out	6
晕	暈	yun4	dizzy; halo; ring around moon or sun	6
晕倒	暈倒	yun1 dao3	to faint; to swoon; to black out; to become unconscious	7-9
晕车	暈車	yun4 che1	to be carsick	6
映	暎	ying4	old variant of 映[ying4]	7-9
暑假	暑假	shu3 jia4	summer vacation; CL:個|个[ge4]	4
暑期	暑期	shu3 qi1	summer vacation time	7-9
暖	暖	nuan3	warm; to warm	5
暖和	暖和	nuan3 huo5	warm; nice and warm	3
暖气	暖氣	nuan3 qi4	central heating; heater; warm air	4
暖烘烘	暖烘烘	nuan3 hong1 hong1	nice and warm; cozy; heartwarming	7-9
暗	暗	an4	dark; to turn dark; secret; hidden; (literary) confused; ignorant	4
暗中	暗中	an4 zhong1	in the dark; in secret; on the sly; surreptitiously	7-9
暗地里	暗地裡	an4 di4 li5	secretly; inwardly; on the sly	7-9
暗杀	暗殺	an4 sha1	to assassinate	7-9
暗示	暗示	an4 shi4	to hint; to suggest; hint; suggestion	4
畅谈	暢談	chang4 tan2	to talk freely; to discuss without inhibition	7-9
畅通	暢通	chang4 tong1	unobstructed; unimpeded; free-flowing; smooth	6
畅销	暢銷	chang4 xiao1	to sell well; bestselling; chart-topping	7-9
暂	暫	zan4	temporary; Taiwan pr. [zhan4]	7-9
暂停	暫停	zan4 ting2	to suspend; time-out (e.g. in sports); stoppage; pause (media player)	5
暂时	暫時	zan4 shi2	temporary; provisional; for the time being	5
暴利	暴利	bao4 li4	sudden huge profits	7-9
暴力	暴力	bao4 li4	violence; force; violent	6
暴躁	暴躁	bao4 zao4	irascible; irritable	7-9
暴雨	暴雨	bao4 yu3	torrential rain; rainstorm; CL:場|场[chang2],陣|阵[zhen4]	6
暴露	暴露	bao4 lu4	to expose; to reveal; to lay bare; also pr. [pu4 lu4]	6
暴风雨	暴風雨	bao4 feng1 yu3	rainstorm; storm; tempest	6
暴风骤雨	暴風驟雨	bao4 feng1 zhou4 yu3	violent wind and rainstorm; hurricane; tempest	7-9
晓得	曉得	xiao3 de5	to know	6
向	曏	xiang4	variant of 向[xiang4]; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly	2
曙光	曙光	shu3 guang1	the first light of dawn; (fig.) glimmer of hope after a dark period; a new beginning	7-9
曝光	曝光	bao4 guang1	to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pu4 guang1]	7-9
旷课	曠課	kuang4 ke4	to play truant; to cut classes	7-9
叠	曡	die2	variant of 疊|叠[die2]	7-9
晒	曬	shai4	(of the sun) to shine on; to bask in (the sunshine); to dry (clothes, grain etc) in the sun; (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share"); (coll.) to give the cold shoulder to	4
晒太阳	曬太陽	shai4 tai4 yang2	to be in the sun (getting warm or sunbathing etc); to put sth in the sun (e.g. to dry it)	7-9
曰	曰	yue1	to speak; to say	7-9
曲	曲	Qu1	surname Qu	7-9
曲	曲	qu1	bent; crooked; wrong	7-9
曲	曲	qu3	tune; song; CL:支[zhi1]	7-9
曲折	曲折	qu1 zhe2	winding; (fig.) complicated	7-9
曲线	曲線	qu1 xian4	curve; curved line; indirect; in a roundabout way	7-9
更	更	geng1	to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard)	2
更	更	geng4	more; even more; further; still; still more	2
更加	更加	geng4 jia1	more (than sth else); even more	3
更换	更換	geng1 huan4	to replace (a worn-out tire etc); to change (one's address etc)	5
更改	更改	geng1 gai3	to alter	7-9
更新	更新	geng1 xin1	to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate	5
更是	更是	geng4 shi4	even more (so)	6
更衣室	更衣室	geng1 yi1 shi4	change room; dressing room; locker room; (euphemism) toilet	7-9
书	書	Shu1	abbr. for 書經|书经[Shu1 jing1]	1
书	書	shu1	book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write	1
书包	書包	shu1 bao1	schoolbag; satchel; bookbag; CL:個|个[ge4],隻|只[zhi1]	1
书写	書寫	shu1 xie3	to write	7-9
书店	書店	shu1 dian4	bookstore; CL:家[jia1]	1
书房	書房	shu1 fang2	study (room); studio; CL:間|间[jian1]	6
书架	書架	shu1 jia4	bookshelf; CL:個|个[ge4]	3
书桌	書桌	shu1 zhuo1	desk; CL:張|张[zhang1]	5
书柜	書櫃	shu1 gui4	bookcase	5
书橱	書櫥	shu1 chu2	bookcase	7-9
书法	書法	shu1 fa3	calligraphy; handwriting; penmanship	5
书籍	書籍	shu1 ji2	books; works	7-9
书记	書記	shu1 ji5	secretary (chief official of a branch of a socialist or communist party); clerk; scribe	7-9
书面	書面	shu1 mian4	in writing; written	7-9
曾	曾	Zeng1	surname Zeng	4
曾	曾	ceng2	once; already; ever (in the past); former; previously; (past tense marker used before verb or clause)	4
曾	曾	zeng1	great- (grandfather, grandchild etc)	4
曾经	曾經	ceng2 jing1	once; already; former; previously; ever; (past tense marker used before verb or clause)	3
替	替	ti4	to substitute for; to take the place of; to replace; for; on behalf of; to stand in for	4
替代	替代	ti4 dai4	to substitute for; to replace; to supersede	4
替换	替換	ti4 huan4	to exchange; to replace; to substitute for; to switch	7-9
替身	替身	ti4 shen1	stand-in; substitute; body double; stuntman; scapegoat; fall guy; to stand in for sb else	7-9
最	最	zui4	(before an adjective or verb) to the highest degree; (the) most ...; -est; (after 之[zhi1]) best or most extreme example (e.g. 世界之最[shi4 jie4 zhi1 zui4] "the greatest in the world")	1
最佳	最佳	zui4 jia1	optimum; optimal; peak; best (athlete, movie etc)	6
最初	最初	zui4 chu1	first; primary; initial; original; at first; initially; originally	4
最好	最好	zui4 hao3	best; had better ...; it would be best to ...	1
最后	最後	zui4 hou4	final; last; ultimate; finally; in the end	1
最终	最終	zui4 zhong1	final; ultimate	6
最近	最近	zui4 jin4	recently; soon; nearest	2
会员	會員	hui4 yuan2	member	3
会场	會場	hui4 chang3	meeting place; place where people gather; CL:個|个[ge4]	7-9
会意	會意	hui4 yi4	combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compound; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc)	7-9
会晤	會晤	hui4 wu4	to meet; meeting; conference	7-9
会见	會見	hui4 jian4	to meet with (sb who is paying a visit); CL:次[ci4]	6
会计	會計	kuai4 ji4	accountant; accountancy; accounting	4
会诊	會診	hui4 zhen3	consultation (medical); to meet for diagnosis; (by extension) consultation of different specialists	7-9
会谈	會談	hui4 tan2	talks; discussions; CL:次[ci4]	5
会议	會議	hui4 yi4	meeting; conference; CL:場|场[chang3],屆|届[jie4]	3
会长	會長	hui4 zhang3	president of a club, committee etc	6
会面	會面	hui4 mian4	to meet with; meeting	7-9
月	月	yue4	moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]	1
月亮	月亮	yue4 liang5	the moon	2
月份	月份	yue4 fen4	month	2
月初	月初	yue4 chu1	start of month; early in the month	7-9
月底	月底	yue4 di3	end of the month	4
月球	月球	yue4 qiu2	the moon	5
月票	月票	yue4 piao4	monthly ticket	7-9
月饼	月餅	yue4 bing3	mooncake (esp. for the Mid-Autumn Festival)	5
有	有	you3	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)	1
有事	有事	you3 shi4	to be occupied with sth; to have sth on one's mind; there is something the matter	6
有人	有人	you3 ren2	someone; people; anyone; there is someone there; occupied (as in restroom)	2
有两下子	有兩下子	you3 liang3 xia4 zi5	to have real skill; to know one's stuff	7-9
有利	有利	you3 li4	advantageous; favorable	3
有利于	有利於	you3 li4 yu2	to be advantageous to; to be beneficial for	5
有力	有力	you3 li4	powerful; forceful; vigorous	5
有助于	有助於	you3 zhu4 yu2	to contribute to; to promote	7-9
有口无心	有口無心	you3 kou3 wu2 xin1	to speak harshly but without any bad intent (idiom)	7-9
有名	有名	you3 ming2	famous; well-known	1
有害	有害	you3 hai4	destructive; harmful; damaging	5
有幸	有幸	you3 xing4	fortunately	7-9
有序	有序	you3 xu4	regular; orderly; successive; in order	7-9
有待	有待	you3 dai4	not yet (done); pending	7-9
有意	有意	you3 yi4	to intend; intentionally; interested in	7-9
有意思	有意思	you3 yi4 si5	interesting; meaningful; enjoyable; fun	2
有所	有所	you3 suo3	somewhat; to some extent	7-9
有所不同	有所不同	you3 suo3 bu4 tong2	to differ to some extent (idiom)	7-9
有效	有效	you3 xiao4	effective; in effect; valid	3
有效期	有效期	you3 xiao4 qi1	period of validity; sell-by date	7-9
有望	有望	you3 wang4	hopeful; promising	7-9
有朝一日	有朝一日	you3 zhao1 yi1 ri4	one day; sometime in the future	7-9
有机	有機	you3 ji1	organic	7-9
有毒	有毒	you3 du2	poisonous	5
有没有	有沒有	you3 mei2 you3	(before a noun) Do (you, they etc) have ...?; Is there a ...?; (before a verb) Did (you, they etc) (verb, infinitive)?; Have (you, they etc) (verb, past participle)?	6
有用	有用	you3 yong4	useful	1
有的	有的	you3 de5	(there are) some (who are...); some (exist)	1
有的放矢	有的放矢	you3 di4 fang4 shi3	lit. to have a target in mind when shooting one's arrows (idiom); fig. to have a clear objective	7-9
有的是	有的是	you3 de5 shi4	have plenty of; there's no lack of	3
有益	有益	you3 yi4	useful; beneficial; profitable	7-9
有空儿	有空兒	you3 kong4 r5	erhua form of 有空[you3 kong4]	2
有声有色	有聲有色	you3 sheng1 you3 se4	having sound and color (idiom); vivid; dazzling	7-9
有着	有著	you3 zhe5	to have; to possess	5
有趣	有趣	you3 qu4	interesting; fascinating; amusing	4
有关	有關	you3 guan1	to have sth to do with; to relate to; related to; to concern; concerning	6
有限	有限	you3 xian4	limited; finite	4
朋友	朋友	peng2 you5	friend; CL:個|个[ge4],位[wei4]	1
服	服	fu2	clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes	6
服	服	fu4	classifier for medicine: dose; Taiwan pr. [fu2]	6
服务	服務	fu2 wu4	to serve; service; CL:項|项[xiang4]	2
服务器	服務器	fu2 wu4 qi4	server (computer); CL:臺|台[tai2]	7-9
服从	服從	fu2 cong2	to obey (an order); to comply; to defer	5
服用	服用	fu2 yong4	to take (medicine)	7-9
服装	服裝	fu2 zhuang1	dress; clothing; costume; clothes; CL:身[shen1]	3
服饰	服飾	fu2 shi4	apparel; clothing and personal adornment	7-9
朗诵	朗誦	lang3 song4	to read aloud with expression; to recite; to declaim	7-9
朗读	朗讀	lang3 du2	to read aloud	5
望	望	wang4	full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards	7-9
望见	望見	wang4 jian4	to espy; to spot	6
望远镜	望遠鏡	wang4 yuan3 jing4	telescope (CL:部[bu4]); binoculars (CL:副[fu4])	7-9
朝	朝	Chao2	abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea	3
朝	朝	chao2	imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards	3
朝	朝	zhao1	morning	3
朝三暮四	朝三暮四	zhao1 san1 mu4 si4	lit. say three in the morning but four in the evening (idiom); to change sth that is already settled upon; indecisive; to blow hot and cold	7-9
朝代	朝代	chao2 dai4	dynasty; reign (of a king)	7-9
朝夕相处	朝夕相處	zhao1 xi1 xiang1 chu3	to spend all one's time together (idiom)	7-9
朝气蓬勃	朝氣蓬勃	zhao1 qi4 peng2 bo2	full of youthful energy (idiom); vigorous; energetic; a bright spark	7-9
朝着	朝著	chao2 zhe5	towards	7-9
期	朞	qi1	variant of 期[qi1]; period; cycle	3
期	期	qi1	a period of time; phase; stage; classifier for issues of a periodical, courses of study; time; term; period; to hope; Taiwan pr. [qi2]	3
期中	期中	qi1 zhong1	interim; midterm	4
期待	期待	qi1 dai4	to look forward to; to await; expectation	4
期望	期望	qi1 wang4	to have expectations; to earnestly hope; expectation; hope	5
期末	期末	qi1 mo4	the end of a term or semester (in school)	4
期盼	期盼	qi1 pan4	to expect; to await	7-9
期间	期間	qi1 jian1	period of time; time; time period; period; CL:個|个[ge4]	4
期限	期限	qi1 xian4	time limit; deadline; allotted time	4
望	朢	wang4	15th day of month (lunar calendar); old variant of 望[wang4]	7-9
朦胧	朦朧	meng2 long2	(literary) (of moonlight) dim; (literary) murky; indistinct	7-9
木偶	木偶	mu4 ou3	puppet	7-9
木匠	木匠	mu4 jiang4	carpenter	7-9
木材	木材	mu4 cai2	wood	7-9
木板	木板	mu4 ban3	slab; board; plank; CL:張|张[zhang1],塊|块[kuai4]	7-9
木头	木頭	mu4 tou5	wood; log (CL:塊|块[kuai4],根[gen1]); (fig.) blockhead; dolt	3
未	未	wei4	not yet; did not; have not; not; 8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep; ancient Chinese compass point: 210°	7-9
未来	未來	wei4 lai2	future; tomorrow; CL:個|个[ge4]; approaching; coming; pending	4
未免	未免	wei4 mian3	unavoidably; can't help; really; rather	7-9
未必	未必	wei4 bi4	not necessarily; maybe not	4
未成年人	未成年人	wei4 cheng2 nian2 ren2	minor (i.e. person under 18)	7-9
未知数	未知數	wei4 zhi1 shu4	unknown number; (fig.) an unknown; an uncertainty	7-9
未经	未經	wei4 jing1	not having undergone; without (having gone though a certain process)	7-9
末	末	me5	variant of 麼|么[me5]	4
末	末	mo4	tip; end; final stage; latter part; inessential detail; powder; dust; opera role of old man	4
末日	末日	Mo4 ri4	Judgment Day (in Christian eschatology)	7-9
末日	末日	mo4 ri4	last day; end; final days; doomsday	7-9
本事	本事	ben3 shi4	source material; original story	3
本事	本事	ben3 shi5	ability; skill	3
本人	本人	ben3 ren2	I; me; myself; oneself; yourself; himself; herself; the person concerned	5
本来	本來	ben3 lai2	original; originally; at first; it goes without saying; of course	3
本分	本分	ben3 fen4	(to play) one's part; one's role; one's duty; (to stay within) one's bounds; dutiful; keeping to one's role	7-9
本土	本土	ben3 tu3	one's native country; native; local; metropolitan territory	6
本地	本地	ben3 di4	local; this locality	6
本子	本子	ben3 zi5	book; notebook; Japanese-style self-published comic (esp. an erotic one), aka "dōjinshi"; CL:本[ben3]; edition	1
本性	本性	ben3 xing4	natural instincts; nature; inherent quality	7-9
本意	本意	ben3 yi4	original idea; real intention; etymon	7-9
本期	本期	ben3 qi1	the current period; this term (usually in finance)	6
本科	本科	ben3 ke1	undergraduate course; undergraduate (attributive)	4
本能	本能	ben3 neng2	instinct	7-9
本色	本色	ben3 se4	inherent qualities; natural qualities; distinctive character; true qualities	7-9
本色	本色	ben3 shai3	natural color	7-9
本着	本著	ben3 zhe5	based on...; in conformance with..; taking as one's main principle	7-9
本质	本質	ben3 zhi4	essence; nature; innate character; intrinsic quality	6
本身	本身	ben3 shen1	itself; in itself; per se	6
本钱	本錢	ben3 qian2	capital; (fig.) asset; advantage; the means (to do sth)	7-9
本领	本領	ben3 ling3	skill; ability; capability; CL:項|项[xiang4],個|个[ge4]	3
朱红	朱紅	zhu1 hong2	vermilion	7-9
朵	朵	duo3	flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc	5
朵	朶	duo3	variant of 朵[duo3]	5
杆	杆	gan1	pole; CL:條|条[tiao2],根[gen1]	6
材料	材料	cai2 liao4	(raw) material; data; (fig.) person who has the potential to do the job	4
村	村	cun1	village; (dialect) to scold; rustic; boorish	3
村庄	村莊	cun1 zhuang1	village; hamlet; CL:座[zuo4]	6
杜绝	杜絕	du4 jue2	to put an end to	7-9
束	束	Shu4	surname Shu	3
束	束	shu4	to bind; bunch; bundle; classifier for bunches, bundles, beams of light etc; to control	3
束缚	束縛	shu4 fu4	to bind; to tie up; to fetter; to shackle	7-9
杯	杯	bei1	cup; trophy cup; classifier for certain containers of liquids: glass, cup	1
杯子	杯子	bei1 zi5	cup; glass; CL:個|个[ge4],隻|只[zhi1]	1
东	東	Dong1	surname Dong	1
东	東	dong1	east; host (i.e. sitting on east side of guest); landlord	1
东北	東北	Dong1 bei3	Northeast China; Manchuria	2
东北	東北	dong1 bei3	northeast	2
东南	東南	dong1 nan2	southeast	2
东奔西走	東奔西走	dong1 ben1 xi1 zou3	to run this way and that (idiom); to rush about busily; to bustle about; to hopscotch; also 東跑西顛|东跑西颠[dong1 pao3 xi1 dian1]	7-9
东张西望	東張西望	dong1 zhang1 xi1 wang4	to look in all directions (idiom); to glance around	7-9
东方	東方	Dong1 fang1	the East; the Orient; two-character surname Dongfang	2
东方	東方	dong1 fang1	east	2
东西	東西	dong1 xi1	east and west	1
东西	東西	dong1 xi5	thing; stuff; person; CL:個|个[ge4],件[jian4]	1
东道主	東道主	dong1 dao4 zhu3	host; official host (e.g. venue for games or a conference)	7-9
东边	東邊	dong1 bian5	east; east side; eastern part; to the east of	1
东部	東部	dong1 bu4	the east; eastern part	3
松	松	Song1	surname Song	4
松	松	song1	pine; CL:棵[ke1]	4
松树	松樹	song1 shu4	pine; pine tree; CL:棵[ke1]	4
板	板	ban3	board; plank; plate; shutter; table tennis bat; clappers (music); CL:塊|块[kuai4]; accented beat in Chinese music; hard; stiff; to stop smiling or look serious	3
板块	板塊	ban3 kuai4	slab; (geology) tectonic plate; (fig.) sector (of the stock market or of industry); (economic) bloc	7-9
枕头	枕頭	zhen3 tou5	pillow	7-9
枚	枚	Mei2	surname Mei	7-9
